date,spx,dji,ixic,rut
1998-09-29,1049.02,8080.52,1734.05,365.8
1998-09-30,1017.01,7842.6201,1693.84,363.59
1998-10-01,986.39,7632.5298,1612.33,350.04
1998-10-02,1002.6,7784.6899,1614.98,349.71
1998-10-05,988.56,7726.2402,1536.6899,336.8
1998-10-06,984.59,7742.98,1510.89,332.55
1998-10-07,970.68,7741.6899,1462.61,322.23
1998-10-08,959.44,7731.9102,1419.12,310.28
1998-10-09,984.39,7899.52,1492.49,318.4
1998-10-12,997.71,8001.4702,1546.08,325.62
1998-10-13,994.8,7938.1401,1509.45,320.33
1998-10-14,1005.53,7968.7798,1540.97,324.98
1998-10-15,1047.49,8299.3604,1611.01,334.81
1998-10-16,1056.42,8416.7598,1620.95,342.87
1998-10-19,1062.39,8466.4502,1648.73,352.45
1998-10-20,1063.9301,8505.8496,1639.1899,358.31
1998-10-21,1069.92,8519.2305,1674.75,359.94
1998-10-22,1078.48,8533.1396,1702.64,366.4
1998-10-23,1070.67,8452.29,1693.86,367.05
1998-10-26,1072.3199,8432.21,1724.98,372.07
1998-10-27,1065.34,8366.04,1717.63,371.5
1998-10-28,1068.09,8371.9697,1737.35,371.47
1998-10-29,1085.9301,8495.0303,1757.1899,374.48
1998-10-30,1098.67,8592.0996,1771.39,378.16
1998-11-02,1111.6,8706.1504,1800.91,386.82
1998-11-03,1110.84,8706.1504,1788.4301,387.56
1998-11-04,1118.67,8783.1396,1823.5699,392.96
1998-11-05,1133.85,8915.4697,1837.1,396.79
1998-11-06,1141.01,8975.46,1856.5601,400.32
1998-11-09,1130.2,8897.96,1861.05,398.43
1998-11-10,1128.26,8863.9805,1865.62,396.86
1998-11-11,1120.97,8823.8203,1862.11,393.47
1998-11-12,1117.6899,8829.7402,1851.0601,392.2
1998-11-13,1125.72,8919.5898,1847.99,389.36
1998-11-16,1135.87,9011.25,1861.6801,390.42
1998-11-17,1139.3199,8986.2803,1878.52,389.43
1998-11-18,1144.48,9041.1104,1897.4399,392.12
1998-11-19,1152.61,9056.0498,1919.6801,394.37
1998-11-20,1163.55,9159.5498,1928.21,394.29
1998-11-23,1188.21,9374.2695,1977.42,398.15
1998-11-24,1182.99,9301.1504,1965.88,396.6
1998-11-25,1186.87,9314.2803,1985.21,399.32
1998-11-27,1192.33,9333.0801,2016.4399,402.09
1998-11-30,1163.63,9116.5498,1949.54,397.75
1998-12-01,1175.28,9133.54,2003.75,398.74
1998-12-02,1171.25,9064.54,1995.21,397.49
1998-12-03,1150.14,8879.6797,1954.33,395.0
